F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\Core\ExxerAI.Domain\Operations\CancellationAwareResult.cs:82 | Class: CancellationAwareResult | Method: WrapCancellationAware | Return: Task<Result>
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceImplementationTests.cs:157 | Class: AgentServiceImplementationTests | Method: DeleteAgentAsync_Should_ReturnSuccess_When_ValidParameters | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:23 | Class: AgentServiceTests | Method: CreateAgentAsync_WithValidInput_ShouldReturnSuccessResult | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:50 | Class: AgentServiceTests | Method: CreateAgentAsync_WithInvalidInput_ShouldReturnFailureResult | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:69 | Class: AgentServiceTests | Method: CreateAgentAsync_WithNullCapabilities_ShouldReturnFailureResult | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:90 | Class: AgentServiceTests | Method: CreateAgentAsync_WithCancellationToken_ShouldRespectCancellation | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:119 | Class: AgentServiceTests | Method: GetAgentAsync_WithValidId_ShouldReturnAgent | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:140 | Class: AgentServiceTests | Method: GetAgentAsync_WithEmptyGuid_ShouldReturnFailureResult | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:159 | Class: AgentServiceTests | Method: GetAgentAsync_WithNonExistentId_ShouldReturnFailureResult | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:182 | Class: AgentServiceTests | Method: GetAllAgentsAsync_WhenAgentsExist_ShouldReturnAllAgents | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:207 | Class: AgentServiceTests | Method: GetAllAgentsAsync_WhenNoAgentsExist_ShouldReturnEmptyList | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:231 | Class: AgentServiceTests | Method: GetActiveAgentsAsync_WhenActiveAgentsExist_ShouldReturnActiveAgentsOnly | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:256 | Class: AgentServiceTests | Method: GetActiveAgentsAsync_WhenNoActiveAgents_ShouldReturnEmptyList | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:280 | Class: AgentServiceTests | Method: UpdateAgentConfigurationAsync_WithValidInput_ShouldReturnSuccess | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:300 | Class: AgentServiceTests | Method: UpdateAgentConfigurationAsync_WithEmptyGuid_ShouldReturnFailure | Return: Task
F:\\Dynamic\\ExxerAi\\ExxerAI\\code\\src\tests\ExxerAI.Application.Tests\Services\AgentServiceTests.cs:320 | Class: AgentServiceTests | Method: UpdateAgentConfigurationAsync_WithNullConfiguration_ShouldReturnFailure | Return: Task
